self.round_id,multiplier,std_time,unix_time
178,657.24,2025-03-16 21:05:24,1742148324
179,2.01,2025-03-16 21:05:53,1742148353
180,1.53,2025-03-16 21:06:12,1742148372
181,1.06,2025-03-16 21:06:25,1742148385
182,2.48,2025-03-16 21:06:54,1742148414
183,2.41,2025-03-16 21:07:17,1742148437
184,1.4,2025-03-16 21:07:34,1742148454
185,4.0,2025-03-16 21:08:02,1742148482
186,1.6,2025-03-16 21:08:20,1742148500
187,1.89,2025-03-16 21:08:42,1742148522
188,1.06,2025-03-16 21:08:56,1742148536
189,1.0,2025-03-16 21:09:08,1742148548
190,3.9,2025-03-16 21:09:40,1742148580
191,2.76,2025-03-16 21:10:02,1742148602
192,1.71,2025-03-16 21:10:20,1742148620
193,1.93,2025-03-16 21:10:39,1742148639
194,1.07,2025-03-16 21:10:51,1742148651
195,1.19,2025-03-16 21:11:04,1742148664
196,4.02,2025-03-16 21:11:33,1742148693
197,1.4,2025-03-16 21:11:48,1742148708
198,122.36,2025-03-16 21:12:59,1742148779
199,1.18,2025-03-16 21:13:12,1742148792
200,1.1,2025-03-16 21:13:26,1742148806
201,2.18,2025-03-16 21:13:46,1742148826
202,5.46,2025-03-16 21:14:15,1742148855
203,1.28,2025-03-16 21:14:30,1742148870
204,1.94,2025-03-16 21:14:49,1742148889
205,1.97,2025-03-16 21:15:12,1742148912
206,1.07,2025-03-16 21:15:24,1742148924
207,1.46,2025-03-16 21:15:38,1742148938
208,1.21,2025-03-16 21:15:51,1742148951
209,1.45,2025-03-16 21:16:06,1742148966
210,1.1,2025-03-16 21:16:22,1742148982
211,2.18,2025-03-16 21:16:40,1742149000
212,4.16,2025-03-16 21:17:06,1742149026
213,1.99,2025-03-16 21:17:29,1742149049
214,1.18,2025-03-16 21:17:42,1742149062
215,1.24,2025-03-16 21:17:56,1742149076
216,30.4,2025-03-16 21:18:45,1742149125
217,6.6,2025-03-16 21:19:24,1742149164
218,1.28,2025-03-16 21:19:39,1742149179
219,1.08,2025-03-16 21:19:50,1742149190
220,2.25,2025-03-16 21:20:10,1742149210
221,2.58,2025-03-16 21:20:32,1742149232
222,1.35,2025-03-16 21:20:47,1742149247
223,20.9,2025-03-16 21:21:34,1742149294
224,1.73,2025-03-16 21:21:53,1742149313
225,1.39,2025-03-16 21:22:08,1742149328
226,1.09,2025-03-16 21:22:20,1742149340
227,2.68,2025-03-16 21:22:41,1742149361
228,1.66,2025-03-16 21:22:59,1742149379
229,3.34,2025-03-16 21:23:23,1742149403
230,8.18,2025-03-16 21:23:59,1742149439
231,21.41,2025-03-16 21:24:48,1742149488
232,1.67,2025-03-16 21:25:09,1742149509
233,1.2,2025-03-16 21:25:22,1742149522
234,1.81,2025-03-16 21:25:41,1742149541
235,9.43,2025-03-16 21:26:20,1742149580
236,2.94,2025-03-16 21:26:46,1742149606
237,4.88,2025-03-16 21:27:14,1742149634
238,3.1,2025-03-16 21:27:41,1742149661
239,1.0,2025-03-16 21:27:52,1742149672
240,1.13,2025-03-16 21:28:05,1742149685
241,1.19,2025-03-16 21:28:17,1742149697
242,3.46,2025-03-16 21:28:41,1742149721
243,2.98,2025-03-16 21:29:05,1742149745
244,2.73,2025-03-16 21:29:27,1742149767
245,1.3,2025-03-16 21:29:45,1742149785
246,2.18,2025-03-16 21:30:04,1742149804
247,19.87,2025-03-16 21:30:48,1742149848
248,8.72,2025-03-16 21:31:25,1742149885
249,2.3,2025-03-16 21:31:50,1742149910
250,3.72,2025-03-16 21:32:16,1742149936
251,1.04,2025-03-16 21:32:30,1742149950
252,1.87,2025-03-16 21:32:54,1742149974
253,1.43,2025-03-16 21:33:14,1742149994
254,3.86,2025-03-16 21:33:39,1742150019
255,2.76,2025-03-16 21:34:02,1742150042
256,1.5,2025-03-16 21:34:20,1742150060
257,1.7,2025-03-16 21:34:37,1742150077
258,17.19,2025-03-16 21:35:19,1742150119
259,1.13,2025-03-16 21:35:35,1742150135
260,1.55,2025-03-16 21:35:54,1742150154
261,1.59,2025-03-16 21:36:11,1742150171
262,1.01,2025-03-16 21:36:22,1742150182
263,1.26,2025-03-16 21:36:36,1742150196
264,4.94,2025-03-16 21:37:05,1742150225
265,1.42,2025-03-16 21:37:22,1742150242
266,1.0,2025-03-16 21:37:34,1742150254
267,4.17,2025-03-16 21:38:01,1742150281
268,3.4,2025-03-16 21:38:33,1742150313
269,1.6,2025-03-16 21:38:50,1742150330
270,3.36,2025-03-16 21:39:14,1742150354
271,1.29,2025-03-16 21:39:31,1742150371
272,1.4,2025-03-16 21:39:49,1742150389
273,1.96,2025-03-16 21:40:11,1742150411
274,1.0,2025-03-16 21:40:20,1742150420
275,1.36,2025-03-16 21:40:34,1742150434
276,2.26,2025-03-16 21:40:54,1742150454
277,1.17,2025-03-16 21:41:08,1742150468
278,2.02,2025-03-16 21:41:37,1742150497
279,1.09,2025-03-16 21:41:38,1742150498
280,1.0,2025-03-16 21:41:48,1742150508
281,1.6,2025-03-16 21:42:02,1742150522
282,2.23,2025-03-16 21:42:21,1742150541
283,1.05,2025-03-16 21:42:32,1742150552
284,10.58,2025-03-16 21:43:11,1742150591
285,2.05,2025-03-16 21:43:30,1742150610
286,1.15,2025-03-16 21:43:42,1742150622
287,539.98,2025-03-16 21:45:05,1742150705
